path_sparsity,mem_footprint,title_base,m,n,nnz,computed_sparsity,nnz_per_row_avg,nnz_per_row_std,bw_avg_n,nnz_max_diff,num_neigh_avg,cross_row_similarity_avg,GFLOPS-AOCL-k=256,GFLOPS-COO_ColInd0_Vec-k=256,GFLOPS-COO_Hilbert_Seg_NoAtomic-k=256,GFLOPS-COO_RowSplit_Vec-k=256,GFLOPS-COO_Z_Seg_NoAtomic-k=256,GFLOPS-MKL_IE-k=256
0.95,0.15195,body_decoder_layer_0_self_attention_multihead_attention_output_transform_fully_connected,512,512,13107,0.9500007629,25.599609375,15.9185500038,0.9095191956,11.5783169299,0.1766994736,0.1971893625,240.93,400.12,282.78,353.01,268.35,272.56
0.95,0.15195,body_decoder_layer_0_self_attention_multihead_attention_q_fully_connected,512,512,13107,0.9500007629,25.599609375,13.9278918621,0.7888641357,1.109407187,0.2121004044,0.1950493176,208.87,326.43,234.51,283.44,241.68,215.96
0.95,0.15195,body_decoder_layer_0_self_attention_multihead_attention_v_fully_connected,512,512,13107,0.9500007629,25.599609375,13.0722840094,0.8845443726,1.9687953002,0.1657129778,0.1532769496,178.52,319.32,231.25,274.84,220.57,213.22
0.95,0.60781,body_encoder_layer_0_ffn_conv1_fully_connected,2048,512,52428,0.9500007629,25.599609375,8.4188358294,0.860789299,3.2969405661,0.1966887922,0.1429204665,410.07,538.73,405.04,445.63,406.53,340.49
0.95,0.60195,body_encoder_layer_0_ffn_conv2_fully_connected,512,2048,52428,0.9500007629,102.3984375,26.242287511,0.9788131714,2.9453727016,0.1075761044,0.1884989663,376.91,597.46,346.64,378.44,342.65,263.7
0.95,0.15195,body_encoder_layer_0_self_attention_multihead_attention_k_fully_connected,512,512,13107,0.9500007629,25.599609375,21.4629459004,0.6887054443,2.6328679332,0.5734340429,0.1979569149,179.44,308.16,238.86,273.45,235.15,218.85
0.95,0.15195,body_encoder_layer_0_self_attention_multihead_attention_output_transform_fully_connected,512,512,13107,0.9500007629,25.599609375,13.6366721737,0.8864517212,6.2657358663,0.1422140841,0.1701236012,218.7,313.98,217.95,272.71,201.52,213.81
0.95,0.15195,body_encoder_layer_0_self_attention_multihead_attention_q_fully_connected,512,512,13107,0.9500007629,25.599609375,15.9923638957,0.8583068848,2.5547417411,0.4319829099,0.2071057134,153.96,313.36,238.21,279.36,235.45,211.29
0.95,0.15195,body_encoder_layer_0_self_attention_multihead_attention_v_fully_connected,512,512,13107,0.9500007629,25.599609375,27.8770641025,0.8604049683,7.5938811322,0.2702372778,0.166663329,185.35,321.82,254.54,282.56,248.44,193.85
0.95,9.87931,symbol_modality_33288_512_shared_,33288,512,852171,0.9500001056,25.5999459265,9.0587641342,0.8640668888,2.2031317658,0.1242802208,0.1800616579,441.43,616.57,429.01,486.94,418.86,371.92
0.95,9.87933,symbol_modality_33288_512_shared_,33288,512,852173,0.9499999883,25.6000060082,5.0320681559,0.9232288921,1.4218744316,0.0997215354,0.1422481915,441.43,616.57,429.01,486.94,418.86,371.92
0.95,0.15195,body_decoder_layer_1_encdec_attention_multihead_attention_k_fully_connected,512,512,13107,0.9500007629,25.599609375,4.7886829319,0.9254951477,0.6406500343,0.0917067216,0.1370077086,259.56,336.86,263.87,293.72,260.62,231.7
